surname,in position,out position
Wang,Associate Professor,Professor
Li,Assistant Professor,Senior Lecturer
Zhang,Lecturer,Emeritus Professor
Liu,Research Fellow,Dean
Chen,Postdoctoral Researcher,Chairperson
Yang,Adjunct Professor,Head of Department
Huang,Visiting Professor,Tutor
Zhao,Instructor,
Wu,Teaching Assistant,
Zhou,Research Assistant,
Xu,Graduate Teaching Fellow,
Sun,Graduate,
Ma,PhD,
Zhu,Postdoctoral Researcher,
Hu,Postdoctoral Scholar,
Guo,Postdoctoral Associate,
He,,
Gao,,
Lin,,
Zheng,,
Xie,,
Luo,,
Liang,,
Song,,
Tang,,
Xu,,
Han,,
Feng,,
Deng,,
Cao,,
Peng,,
Zeng,,
Xiao,,
Tian,,
Dong,,
Yuan,,
Pan,,
Yu,,
Jiang,,
Cai,,
Yu,,
Du,,
Ye,,
Cheng,,
Su,,
Wei,,
Lu,,
Ding,,
Ren,,
Shen,,
Yao,,
Lu,,
Jiang,,
Cui,,
Zhong,,
Tan,,
Lu,,
Wang,,
Fan,,
Jin,,
Shi,,
Liao,,
Jia,,
Xia,,
Wei,,
Fu,,
Fang,,
Bai,,
Zou,,
Meng,,
Xiong,,
Qin,,
Qiu,,
Jiang,,
Yin,,
Xue,,
Yan,,
Duan,,
Lei,,
Hou,,
Long,,
Shi,,
Tao,,
Li,,
He,,
Gu,,
Mao,,
Hao,,
Gong,,
Shao,,
Wan,,
Qian,,
Yan,,
Qin,,
Wu,,
Dai,,
Mo,,
Kong,,
Xiang,,
Tang,,
Tan,,
Lim,,
Lee,,
Ng,,
Ong,,
Wong,,
Goh,,
Chua,,
Chan,,
Koh,,
Teo,,
Ang,,
Yeo,,
Tay,,
Ho,,
Low,,
Toh,,
Sim,,
Chong,,
Chia,,
